(U)COMISS/D	COMISS COMISD UCOMISS UCOMISD
COMISS/D UCOMISS/D	COMISS COMISD UCOMISS UCOMISD
ADDPS/D SUBPS/D	ADDPS ADDPD SUBPS SUBPD
ADDSS/D PS/D SUBSS/D PS/D	ADDSS ADDSD ADDPS ADDPD SUBSS SUBSD SUBPS SUBPD
ADDSS/D SUBSS/D	ADDSS ADDSD SUBSS SUBSD
ADDSUBPS/D	ADDSUBPS ADDSUBPD
AESDEC, AESDECLAST, AESENC, AESENCLAST	AESDEC AESDECLAST AESENC AESENCLAST
AND/ANDN/OR/XORPS/PD	ANDPS ANDPD ANDNPS ANDNPD ORPS ORPD XORPS XORPD
BLENDPS/PD	BLENDPS BLENDPD
BLENDVPS/PD	BLENDVPS BLENDVPD
VBLENDPS/PD	VBLENDPS VBLENDPD
VBLENDVPS/PD	VBLENDVPS VBLENDVPD
CMOVcc	CMOVE CMOVZ CMOVNE CMOVNZ CMOVA CMOVNBE CMOVAE CMOVNB CMOVB CMOVNAE CMOVBE CMOVNA CMOVG CMOVNLE CMOVGE CMOVNL CMOVL CMOVNGE CMOVLE CMOVNG CMOVC CMOVNC CMOVO CMOVNO CMOVS CMOVNS CMOVP CMOVPE CMOVNP CMOVPO
CMPccSS/D CMPccPS/D	 CMPEQSS CMPLESS CMPLTSS CMPNEQSS CMPNLESS CMPNLTSS CMPORDSS CMPUNORDSS CMPEQSD CMPLESD CMPLTSD CMPNEQSD CMPNLESD CMPNLTSD CMPORDSD CMPUNORDSD CMPEQPS CMPLEPS CMPLTPS CMPNEQPS CMPNLEPS CMPNLTPS CMPORDPS CMPUNORDPS CMPEQPD CMPLEPD CMPLTPD CMPNEQPD CMPNLEPD CMPNLTPD CMPORDPD CMPUNORDPD
VCMPccPS/D	 VCMPEQPS VCMPLEPS VCMPLTPS VCMPNEQPS VCMPNLEPS VCMPNLTPS VCMPORDPS VCMPUNORDPS VCMPEQPD VCMPLEPD VCMPLTPD VCMPNEQPD VCMPNLEPD VCMPNLTPD VCMPORDPD VCMPUNORDPD
Conditional jump	JE JZ JNE JNZ JA JNBE JAE JNB JB JNAE JBE JNA JG JNLE JGE JNL JL JNGE JLE JNG JC JNC JO JNO JS JNS JPO JNP JPE JP
FADD(P) FSUB(R)(P)	FADD FADDP FSUBR FSUBP
FCMOVcc	FCMOVB FCMOVBE FCMOVE FCMOVNB FCMOVNBE FCMOVNE FCMOVNU FCMOVU
FCOM(P) FUCOM	FCOM FCOMP FUCOM
FCOMI(P) FUCOMI(P)	FCOMI FCOMIP FUCOMI FUCOMIP
FDIV(R)(P)	FDIV FDIVR FDIVP
FFREE(P)	FFREE FFREEP
FIADD FISUB(R)	FIADD FISUB FISUBR
FICOM(P)	FICOM FICOMP
FIDIV(R)	FIDIV FIDIVR
FIST(P)	FIST FISTP
FLDPI FLDL2E etc.	FLDPI FLDL2E
FMUL(P)	FMUL FMULP
FST(P)	FST FSTP
HADDPS/D	HADDPS HADDPD
HSUBPS/D	HSUBPS HSUBPD
J(E/R)CXZ	JCXZ JECXZ JRCXZ
LODSB/W	LODSB LODSW
LODSD/Q	LODSD LODSQ
LOOP(N)E	LOOPE LOOPNE

MAXPS/D MINPS/D	MAXPS MAXPD MINPS MINPD
MAXSS/D MINSS/D	MAXSS MAXSD MINSS MINSD
MAXSS/D PS/D MINSS/D PS/D	MAXSS MAXSD MAXPS MAXPD MINSS MINSD MINPS MINPD
MAXSS/SD/PS/PD	MAXSS MAXSD MAXPS MAXPD
MINSS/SD/PS/PD	MINSS MINSD MINPS MINPD

MOVAPS/D	MOVAPS MOVAPD
MOVUPS/D	MOVUPS MOVUPD
MOVDQA/U	MOVDQA MOVDQU
MOVH/LPS/D	MOVHPS MOVHPD MOVLPS MOVLPD
MOVHPS/D	MOVHPS MOVHPD
MOVLPS/D	MOVLPS MOVLPD


MOVMSKPS/D	MOVMSKPS MOVMSKPD
MOVNTPS/D	MOVNTPS MOVNTPD
MOVSH/LDUP	MOVSHDUP MOVSLDUP
MOVSS/D	MOVSS MOVSD
MULSS/D PS/D	MULSS MULSD MULPS MULPD
PABSB/W/D	PABSB PABSW PABSD
PACKSSWB/DW PACKUSWB	PACKSSWB PACKSSDW PACKUSWB
PADD/SUB(S,US)B/W/D/Q	PADDSB PADDSW PADDUSB PADDUSW PSUBSB PSUBSW PSUBUSB PSUBUSW
PADD/SUB(U,S)B/W/D/Q	PADDSB PADDSW PADDUSB PADDUSW PSUBSB PSUBSW PSUBUSB PSUBUSW
PAND(N)	PAND PANDN
PAVGB/W	PAVGB PAVGW
PCMPEQ/GTB/W/D	PCMPEQB PCMPEQW PCMPEQD PCMPGTB PCMPGTW PCMPGTD 
PCMPEQB/W/D PCMPGTB/W/D	PCMPEQB PCMPEQW PCMPEQD PCMPGTB PCMPGTW PCMPGTD
PEXTRB/W/D/Q	PEXTRB PEXTRW PEXTRD PEXTRQ
PHADD(S)W/D PHSUB(S)W/D	PHADDW PHADDSW PHADDD PHSUBW PHSUBSW PHSUBD
PHADD/SUB(S)W/D	PHADDW PHADDSW PHADDD PHSUBW PHSUBSW PHSUBD
PINSRD/Q	PINSRD PINSRQ
PMIN/MAXSB	PMINSB PMAXSB
PMIN/MAXSW	PMINSW PMAXSW
PMIN/MAXU/SD	PMINSD PMINUD PMAXSD PMAXUD
PMIN/MAXUB	PMINUB PMAXUB
PMIN/MAXUW	PMINUW PMAXUW
PMIN/PMAX SB/SW/SD UB/UW/UD	PMINSB PMINSW PMINSD PMINUB PMINUW PMINUD PMAXSB PMAXSW PMAXSD PMAXUB PMAXUW PMAXUD
PMOVSX/ZX BW BD BQ DW DQ	PMOVSXBW PMOVZXBW PMOVSXBD PMOVZXBD PMOVSXBQ PMOVZXBQ PMOVSXWD PMOVZXWD PMOVSXDQ PMOVZXDQ
PMOVSX/ZXBD	PMOVSXBD PMOVZXBD
PMOVSX/ZXBQ	PMOVSXBQ PMOVZXBQ
PMOVSX/ZXBW	PMOVSXBW PMOVZXBW
PMOVSX/ZXDQ	PMOVSXDQ PMOVZXDQ
PMOVSX/ZXWD	PMOVSXWD PMOVZXWD
PMOVSX/ZXWQ	PMOVSXWQ PMOVZXWQ
PMULL/HW	PMULLW PMULHW
VPMULL/HW	VPMULLW VPMULHW
POPA(D)	POPA POPAD
POPF(D/Q)	POPF POPFD POPFQ
PREFETCHNTA/0/1/2	PREFETCHNTA PREFETCHT0 PREFETCHT1 PREFETCHT2
PREFETCHT0/1/2	PREFETCHT0 PREFETCHT1 PREFETCHT2
PSHUFL/HW	PSHUFLW PSHUFHW
PSIGNB/W/D	PSIGNB PSIGNW PSIGND
PSLL/RL/RAW/D/Q	PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ
PSLL/RLDQ	PSLLD PSLLQ PSRLD PSRLQ
PSLLW/D/Q PSRLW/D/Q PSRAW/D/Q	PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ
PUNPCKH/LBW/WD/DQ	PUNPCKHBW PUNPCKLBW PUNPCKHWD PUNPCKLWD PUNPCKHDQ PUNPCKLDQ
PUNPCKH/LQDQ	PUNPCKHQDQ PUNPCKLQDQ
PUSHA(D)	PUSHA PUSHAD
PUSHF(D/Q)	PUSHF PUSHFD PUSHFQ
RCPSS/PS	RCPSS RCPPS
ROUNDSS/D PS/D	ROUNDSS ROUNDSD ROUNDPS ROUNDPD
ROUNDSS/SD/PS/PD	ROUNDSS ROUNDSD ROUNDPS ROUNDPD
RSQRTSS/PS	RSQRTSS RSQRTPS
SETcc	SETE SETZ SETNE SETNZ SETA SETNBE SETAE SETNB SETNC SETB SETNAE SETC SETBE SETNA SETG SETNLE SETGE SETNL SETL SETNGE SETLE SETNG SETS SETNS SETO SETNO SETPE SETP SETPO SETNP
SHUFPS/D	SHUFPS SHUFPD
SQRTSD/PD	SQRTSD SQRTPD
SQRTSS/PS	SQRTSS SQRTPS
UNPCKH/LPS/D	UNPCKHPS UNPCKLPS UNPCKHPD UNPCKLPD
VADDPS/D VSUBPS/D	VADDPS VADDPD VSUBPS VSUBPD
VADDSUBPS/D	VADDSUBPS VADDSUBPD
VAND/ANDN/OR/XORPS/PD	VANDPS VANDPD VANDNPS VANDNPD VORPS VORPD VXORPS VXORPD

VCVT(T)PS2DQ	VCVTPS2DQ VCVTTPS2DQ
VCVT(T)PS2QQ	VCVTPS2QQ VCVTTPS2QQ
VCVT(T)PS2UDQ	VCVTPS2UDQ VCVTTPS2UDQ
VCVT(T)PS2UQQ	VCVTPS2UQQ VCVTTPS2UQQ
VCVT(T)PD2DQ	VCVTPD2DQ VCVTTPD2DQ
VCVT(T)PD2QQ	VCVTTPD2QQ VCVTTPD2QQ
VCVT(T)PD2UDQ	VCVTPD2UDQ VCVTTPD2UDQ
VCVT(T)PD2UQQ	VCVTPD2UQQ VCVTTPD2UQQ

;CVT(T)SS2USI	CVTSS2USI CVTTSS2USI
;CVT(T)SD2USI	CVTSD2USI CVTTSD2USI
CVT(T)PS2DQ	CVTPS2DQ CVTTPS2DQ
CVT(T)PD2PI	CVTPD2PI CVTTPD2PI
CVT(T)PD2DQ	CVTPS2DQ CVTTPS2DQ
CVT(T)PS2PI	CVTPS2PI CVTTPS2PI
CVT(T)SD2SI	CVTSD2SI CVTTSD2SI
CVT(T)SS2SI	CVTSS2SI CVTTSS2SI

VPSCATTERDPS	VPSCATTERDD
VPSCATTERDPD	VPSCATTERDQ
VPSCATTERQPS	VPSCATTERQD
VPSCATTERQPD	VPSCATTERQQ

VFMADD... (all FMA instr.)	VFMADD132SS VFMADD132SD VFMADD132PS VFMADD132PD VFMADD213SS VFMADD213SD VFMADD213PS VFMADD213PD VFMADD231SS VFMADD231SD VFMADD231PS VFMADD231PD VFMADDSUB132PS VFMADDSUB132PD VFMADDSUB213PS VFMADDSUB213PD 
VHADDPS/D VHSUBPS/D	VHADDPS VHADDPD VHSUBPS VHSUBPD
VMASKMOVPS/D	VMASKMOVPS VMASKMOVPD
VMAXPS/D VMINPS/D	VMAXPS VMAXPD VMINPS VMINPD
VMOVAPS/D	VMOVAPS VMOVAPD
VMOVAPS/D VMOVUPS/D	VMOVAPS VMOVAPD VMOVUPS VMOVUPD
VMOVDQA/U	VMOVDQA VMOVDQU
VMOVDQA32/64	VMOVDQA32 VMOVDQA64
VMOVDQA/U/32/64	VMOVDQA VMOVDQU VMOVDQA32 VMOVDQA64 VMOVDQU32 VMOVDQU64
VMOVDQA/U/8/16/32/64	VMOVDQU VMOVDQU8 VMOVDQU16 VMOVDQU32 VMOVDQU64
VMOVMSKPS/D	VMOVMSKPS VMOVMSKPD
VMOVNTPS/D	VMOVNTPS VMOVNTPD
VMOVSH/LDUP	VMOVSHDUP VMOVSLDUP
VPBROADCASTB/W	VPBROADCASTB VPBROADCASTW
VPBROADCASTB/W/D/Q	VPBROADCASTB VPBROADCASTW VPBROADCASTD VPBROADCASTQ
VPBROADCASTD/Q	VPBROADCASTD VPBROADCASTQ
VPERMILPS/PD	VPERMILPS VPERMILPD
VPMASKMOVD/Q	VPMASKMOVD VPMASKMOVQ
VPMOVSX/ZX BW BD BQ DW DQ	VPMOVSXBW VPMOVZXBW VPMOVSXBD VPMOVZXBD VPMOVSXBQ VPMOVZXBQ VPMOVSXWD VPMOVZXWD VPMOVSXDQ VPMOVZXDQ
VPSLLVD/Q VPSRAVD VPSRLVD/Q	VPSLLVD VPSLLVQ VPSRAVD VPSRLVD VPSRLVQ
VROUNDSS/SD/PS/PD	VROUNDSS VROUNDSD VROUNDPS VROUNDPD
VSHUFPS/D	VSHUFPS VSHUFPD
VUNPCKH/LPS/D	VUNPCKHPS VUNPCKHPD VUNPCKLPS VUNPCKLPD
VPMOVWB/DB/QB/DW/QW/QD VPMOVSWB/DB/QB/DW/QW/QD VPMOVUSWB/DB/QB/DW/QW/QD	VPMOVWB VPMOVDB VPMOVQB VPMOVDW VPMOVQW VPMOVQD VPMOVSWB VPMOVSDB VPMOVSQB VPMOVSDW VPMOVSQW VPMOVSQD VPMOVUSWB VPMOVUSDB VPMOVUSQB VPMOVUSDW VPMOVUSQW VPMOVUSQD
VALIGND/Q	VALIGND VALIGNQ
VPBLENDD/Q	VPBLENDD
VPBLENDMB/W	VPBLENDMB VPBLENDMW
VPBLENDMD/Q	VPBLENDMD VPBLENDMQ
VBROADCASTI32X4/I64X2	VBROADCASTI32X4 VBROADCASTI64X2
VBROADCASTI32X8/I64X4	VBROADCASTI32X8 VBROADCASTI64X4
VPCOMPRESSD/Q	VPCOMPRESSD VPCOMPRESSQ
VPEXPANDD/Q	VPEXPANDD VPEXPANDQ
VPCMP..B/W/D/Q	VPCMPB VPCMPUB VPCMPW VPCMPUW VPCMPD VPCMPUD VPCMPQ VPCMPUQ

VPTESTMB/W/D/Q	VPTESTMB VPTESTMW VPTESTMD VPTESTMQ
VPTESTNMB/W/D/Q	VPTESTNMB VPTESTNMW VPTESTNMD VPTESTNMQ
VPTESTMB/W/D/Q VPTESTNMB/W/D/Q	VPTESTMB VPTESTMW VPTESTMD VPTESTMQ VPTESTNMB VPTESTNMW VPTESTNMD VPTESTNMQ

VPSLLW/D/Q	VPSLLW VPSLLD VPSLLQ
VPSRLW/D/Q	VPSRLW VPSRLD VPSRLQ
VPSRAW/D/Q	VPSRAW VPSRAD VPSRAQ

VPSLLVW/D/Q	VPSLLVW VPSLLVD VPSLLVQ
VPSRAVW/D/Q	VPSRAVW VPSRAVD VPSRAVQ
VPSRLVW/D/Q	VPSRLVW VPSRLVD VPSRLVQ

VPROL/RD/Q	VPROLD VPRORD VPROLQ VPRORQ
VPROL/RVD/Q	VPROLVD VPRORVD VPROLVQ VPRORVQ
VPLZCNTD/Q	VPLZCNTD VPLZCNTQ
VPTERNLOGD/Q	VPTERNLOGD VPTERNLOGQ
VPERMI2PS/PD	VPERMI2PS VPERMI2PD
VPERMT2PS/PD	VPERMT2PS VPERMT2PD
VBLENDMPS/PD	VBLENDMPS VBLENDMPD
VCOMPRESPS/PD	VCOMPRESSPS VCOMPRESSPD
VEXPANDPS/PD	VEXPANDPS VEXPANDPD

VMULPS/D	VMULPS VMULPD
VRCP14SS/PS	VRCP14SS VRCP14PS
VCMPPS/PD	VCMPPS VCMPPD

VRANGESS/SD/PS/PD	VRANGESS VRANGESD VRANGEPS VRANGEPD
VRNDSCALESS/PS/SD/PD	VRNDSCALESS VRNDSCALEPS VRNDSCALESD VRNDSCALEPD
VREDUCESS/PS/SD/PD	VREDUCESS VREDUCEPS VREDUCESD VREDUCEPD
VFIXUPIMMSS/SD	VFIXUPIMMSS VFIXUPIMMSD
VFIXUPIMMPS/PD	VFIXUPIMMPS VFIXUPIMMPD
VFPCLASSSS/SD	VFPCLASSSD VFPCLASSSD
VFPCLASSPS/PD	VFPCLASSPS VFPCLASSPD
VRSQRT14SS/PS	VRSQRT14SS VRSQRT14PS
VGETEXPSS/SD	VGETEXPSS VGETEXPSD
VGETEXPPS/PD	VGETEXPPS VGETEXPPD
VGETMANTSS/SD	VGETMANTSS VGETMANTSD
VGETMANTPS/PD	VGETMANTPS VGETMANTPD
VSCALEFSS/SD/PS/PD	VSCALEFSS VSCALEFSD VSCALEFPS VSCALEFPD
VTESTPS/PD	VTESTPS VTESTPD

KMOVB/W/D/Q	KMOVB KMOVW KMOVD KMOVQ
VPMOVM2B/W	VPMOVM2B VPMOVM2W
VPMOVM2D/Q	VPMOVM2D VPMOVM2Q
VPMOVB/W2M	VPMOVB2M VPMOVW2M
VPMOVD/Q2M	VPMOVD2M VPMOVQ2M
KADDB/W/D/Q	KADDB KADDW KADDD KADDQ
KSHIFTLB/W/D/Q	KSHIFTLB KSHIFTLW KSHIFTLD KSHIFTLQ
KSHIFTRB/W/D/Q	KSHIFTRB KSHIFTRW KSHIFTRD KSHIFTRQ
KANDB/W/D/Q	KANDB KANDW KANDD KANDQ
KANDNB/W/D/Q	KANDNB KANDNW KANDND KANDNQ
KORB/W/D/Q	KORB KORW KORD KORQ
KXORB/W/D/Q	KXORB KXORW KXORD KXORQ
KXNORB/W/D/Q	KXNORB KXNORW KXNORD KXNORQ
KNOTB/W/D/Q	KNOTB KNOTW KNOTD KNOTQ
KTESTB/W/D/Q	KTESTB KTESTW KTESTD KTESTQ
KORTESTB/W/D/Q	KORTESTB KORTESTW KORTESTD KORTESTQ

